trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
475,False,"{'a': 0.5, 'e': 0.0573498899319395}",20,13,12.216777053805794,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.5, 'e': 0.05700579059234786}",20,10,19.244270270135242,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.5, 'e': 0.056663755848793775}",30,13,32.687652009377494,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.5, 'e': 0.05632377331370101}",25,7,24.22458817274112,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
479,False,"{'a': 0.5, 'e': 0.0559858306738188}",30,7,36.30642452260295,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.5, 'e': 0.05564991568977589}",20,9,24.59127307822921,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.5, 'e': 0.05531601619563723}",25,19,11.00962288990026,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.5, 'e': 0.05498412009846341}",20,16,8.207916438655461,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.5, 'e': 0.05465421537787263}",25,17,16.899578085360393,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.5, 'e': 0.05432629008560539}",20,6,23.7521385726286,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.5, 'e': 0.05400033234509176}",20,3,30.873289335186765,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.5, 'e': 0.053676330351021206}",20,14,11.064147136593935,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.5, 'e': 0.05335427236891508}",25,20,10.084370635726732,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.5, 'e': 0.05303414673470159}",25,14,18.012408393508128,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.5, 'e': 0.05271594185429338}",20,0,18.131242075663735,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.5, 'e': 0.05239964620316762}",20,8,22.27388840686065,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.5, 'e': 0.052085248325948616}",30,13,20.791127266535884,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.5, 'e': 0.05177273683599292}",20,7,1.2419855345675264,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
493,False,"{'a': 0.5, 'e': 0.051462100414976966}",30,9,33.62085256641535,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
